model,feature_selection,r2_score,mae,mape,mse,rmse,is_tuned,is_linear
Extreme Gradient Boosting,feature_importance,0.1911,346.766,0.3803,248046.3268,452.1652,False,False
Ridge Regression,feature_importance,0.1514,312.6177,0.6843,238596.1641,434.9468,False,True
Ridge Regression,all_variables,0.0902,256.6498,0.598,252393.6504,407.5171,False,True
Light Gradient Boosting Machine,pca,-0.0459,519.1151,0.9165,322607.0622,566.0517,False,False
Light Gradient Boosting Machine,all_variables,-0.0459,519.1151,0.9165,322607.0622,566.0517,False,False
Light Gradient Boosting Machine,feature_importance,-0.0459,519.1151,0.9165,322607.0622,566.0517,False,False
TheilSen Regressor,all_variables,-0.2252,312.9342,0.6127,331117.0701,425.9685,False,True
Passive Aggressive Regressor,feature_importance,-0.235,393.8495,0.8577,344997.3671,532.2593,False,True
Extreme Gradient Boosting,all_variables,-0.2714,443.8583,0.5286,373064.3021,604.1865,False,False
Passive Aggressive Regressor,all_variables,-0.5456,371.3567,0.8606,429916.2519,567.02,False,True
Ridge Regression,pca,-0.5968,377.0253,0.8878,446757.0182,588.0748,False,True
Bayesian Ridge,pca,-0.6084,369.7697,0.8761,448696.2292,579.9587,False,True
Random Sample Consensus,all_variables,-0.658,420.605,0.735,462610.6667,573.3329,False,True
Linear Regression,all_variables,-0.658,420.6052,0.735,462607.5586,573.332,False,True
Huber Regressor,pca,-0.8283,436.9423,1.0184,516250.586,669.1061,False,True
Automatic Relevance Determination,pca,-0.8909,384.1637,0.9377,521939.4036,614.3058,False,True
Passive Aggressive Regressor,pca,-0.9243,409.598,0.9686,535202.5401,647.6074,False,True
Lasso Regression,pca,-0.9275,408.9066,0.9714,537778.0182,642.9816,False,True
Lasso Least Angle Regression,pca,-0.9281,408.942,0.9715,537940.6484,643.0584,False,True
Linear Regression,pca,-0.9492,411.79,0.9776,544079.2005,647.3407,False,True
Least Angle Regression,pca,-0.9492,411.7897,0.9776,544078.3125,647.3403,False,True
Orthogonal Matching Pursuit,all_variables,-1.1508,617.8209,1.2734,616755.9792,758.2838,False,True
TheilSen Regressor,pca,-2.2472,446.3604,1.1561,883987.9263,772.1986,False,True
Random Sample Consensus,pca,-2.7485,567.0495,1.4136,1034137.9375,909.8047,False,True
Kernel Ridge,feature_importance,-5.5947,1108.604,1.8606,1962118.0,1390.1616,False,True
Kernel Ridge,all_variables,-9.53,1255.0098,1.9871,3073318.9167,1713.7169,False,True
Kernel Ridge,pca,-29.929,1552.3263,3.4136,8467307.0417,2402.8103,False,True
Least Angle Regression,all_variables,-8640431.0849,746119.9322,1352.8947,2376878062681.6665,1258937.0845,False,True
